Model,MAE,MSE,RMSE,R2 Score,Training Time (s)
Linear Regression,50670.738240971914,4908476721.156617,70060.5218447352,0.6254240620553605,0.006136417388916016
Random Forest,31631.0186749031,2401861420.4517317,49008.7892163409,0.8167090228826115,1.3864712715148926
SVR,86961.49784528147,13655973504.4516,116858.77589831069,-0.042115380099383426,10.585314273834229
